A,B,C
Africa-Algeria-CSConstantine,1,1
Africa-Algeria-USMAlger,1,1
Africa-Cameroon-CotonSport,2,1
Africa-Ghana-AduanaStars,1,1
Africa-IvoryCoast-S?w?Sport,1,1
Africa-Nigeria-EnuguRangers,1,1
Africa-Nigeria-GombeUnited,1,1
Africa-Nigeria-SunshineStars,1,1
Africa-Nigeria-WarriWolves,1,1
Africa-SouthAfrica-MamelodiSundowns,1,1
Africa-SouthAfrica-OrlandoPirates,1,1
Africa-Tunisia-ClubAfricain,1,1
Africa-Tunisia-Esp?rance,1,1
Asia-Australia-AdelaideUnited,1,2
Asia-Australia-BrisbaneRoar,2,2
Asia-Australia-MelbourneVictory,2,2
Asia-Australia-NewcastleJets,1,2
Asia-Australia-WesternSydneyWanderers,1,2
Asia-China-BeijingGuoan,1,2
Asia-China-GuangzhouEvergrande,1,2
Asia-China-GuangzhouR&F,1,2
Asia-China-GuizhouRenhe,1,2
Asia-China-QingdaoJonoon,1,2
Asia-China-ShandongLunengTaishan,1,2
Asia-Iran-Esteghlal,4,2
Asia-Iran-Foolad,1,2
Asia-Iran-NaftTehran,1,2
Asia-Iran-Persepolis,4,2
Asia-Iran-Sepahan,2,2
Asia-Iran-TractorSazi,1,2
Asia-Iran-ZobAhan,1,2
Asia-Japan-CerezoOsaka,3,2
Asia-Japan-F.C.Tokyo,2,2
Asia-Japan-GambaOsaka,2,2
Asia-Japan-JubiloIwata,1,2
Asia-Japan-KashiwaReysol,2,2
Asia-Japan-KawasakiFrontale,1,2
Asia-Japan-SanfrecceHiroshima,2,2
Asia-Japan-UrawaRedDiamonds,1,2
Asia-Japan-YokohamaF.Marinos,1,2
Asia-Kuwait-AlKuwait,1,2
Asia-Qatar-AlGharafa,1,2
Asia-Qatar-Lekhwiya,1,2
Asia-Qatar-UmmSalal,1,2
Asia-SaudiArabia-AlHilal,1,2
Asia-SouthKorea-BusanIPark,1,2
Asia-SouthKorea-JeonbukHyundaiMotors,1,2
Asia-SouthKorea-SangjuSangmu,1,2
Asia-SouthKorea-SuwonBluewings,1,2
Asia-SouthKorea-UlsanHyundai,3,2
Asia-UnitedArabEmirates-AlAin,1,2
Asia-UnitedArabEmirates-AlJazira,1,2
NorthAmerica-Canada-TorontoFC,2,3
NorthAmerica-Canada-VancouverWhitecapsFC,1,3
NorthAmerica-CostaRica-Alajuelense,3,3
NorthAmerica-CostaRica-Cartagin?s,1,3
NorthAmerica-CostaRica-Herediano,4,3
NorthAmerica-CostaRica-Saprissa,2,3
NorthAmerica-Honduras-Motagua,2,3
NorthAmerica-Honduras-Olimpia,4,3
NorthAmerica-Honduras-RealEspa?a,4,3
NorthAmerica-Honduras-RealSociedad,1,3
NorthAmerica-Mexico-Am?rica,4,3
NorthAmerica-Mexico-Atlante,1,3
NorthAmerica-Mexico-CruzAzul,3,3
NorthAmerica-Mexico-Le?n,3,3
NorthAmerica-Mexico-Monterrey,1,3
NorthAmerica-Mexico-Morelia,2,3
NorthAmerica-Mexico-Pachuca,2,3
NorthAmerica-Mexico-Puebla,1,3
NorthAmerica-Mexico-SantosLaguna,1,3
NorthAmerica-Mexico-Tijuana,2,3
NorthAmerica-Mexico-Toluca,3,3
NorthAmerica-Mexico-UANL,2,3
NorthAmerica-UnitedStates-ChivasUSA,2,3
NorthAmerica-UnitedStates-ColumbusCrew,2,3
NorthAmerica-UnitedStates-HoustonDynamo,2,3
NorthAmerica-UnitedStates-LosAngelesGalaxy,1,3
NorthAmerica-UnitedStates-NewEnglandRevolution,1,3
NorthAmerica-UnitedStates-NewYorkRedBulls,2,3
NorthAmerica-UnitedStates-RealSaltLake,2,3
NorthAmerica-UnitedStates-SanJoseEarthquakes,2,3
NorthAmerica-UnitedStates-SeattleSoundersFC,2,3
NorthAmerica-UnitedStates-SportingKansasCity,2,3
SouthAmerica-Argentina-BocaJuniors,2,4
SouthAmerica-Argentina-Newell'sOldBoys,1,4
SouthAmerica-Argentina-RiverPlate,3,4
SouthAmerica-Argentina-SanLorenzo,1,4
SouthAmerica-Brazil-Atl?ticoMineiro,2,4
SouthAmerica-Brazil-Botafogo,1,4
SouthAmerica-Brazil-Corinthians,1,4
SouthAmerica-Brazil-Flamengo,1,4
SouthAmerica-Brazil-Fluminense,1,4
SouthAmerica-Brazil-Internacional,1,4
SouthAmerica-Brazil-Palmeiras,1,4
SouthAmerica-Brazil-Santos,1,4
SouthAmerica-Brazil-S?oPaulo,1,4
SouthAmerica-Brazil-VascodaGama,1,4
SouthAmerica-Chile-ColoColo,2,4
SouthAmerica-Chile-UniversidadCat?lica,1,4
SouthAmerica-Chile-UniversidaddeChile,2,4
SouthAmerica-Colombia-Atl?ticoNacional,1,4
SouthAmerica-Colombia-DeportivoCali,1,4
SouthAmerica-Colombia-SantaFe,2,4
SouthAmerica-Ecuador-Barcelona,3,4
SouthAmerica-Ecuador-ElNacional,1,4
SouthAmerica-Ecuador-Emelec,3,4
SouthAmerica-Ecuador-LDUQuito,1,4
SouthAmerica-Paraguay-Libertad,1,4
SouthAmerica-Uruguay-Nacional,1,4
Europe-Austria-AustriaWien,1,5
Europe-Austria-SturmGraz,1,5
Europe-Belgium-Anderlecht,2,5
Europe-Belgium-CercleBrugge,1,5
Europe-Belgium-ClubBrugge,2,5
Europe-Belgium-Lokeren,1,5
Europe-Belgium-StandardLi?ge,3,5
Europe-Belgium-WaaslandBeveren,1,5
Europe-Belgium-ZulteWaregem,2,5
Europe-BosniaandHerzegovina-BoracBanjaLuka,1,5
Europe-Bulgaria-CSKASofia,1,5
Europe-Croatia-DinamoZagreb,2,5
Europe-Croatia-HajdukSplit,2,5
Europe-Croatia-Lokomotiva,1,5
Europe-Denmark-Copenhagen,1,5
Europe-Premier League(England)-Arsenal,10,5
Europe-Premier League(England)-AstonVilla,2,5
Europe-Premier League(England)-BoltonWanderers,1,5
Europe-Premier League(England)-CharltonAthletic,1,5
Europe-Premier League(England)-Chelsea,12,5
Europe-Premier League(England)-CrystalPalace,1,5
Europe-Premier League(England)-Everton,6,5
Europe-Premier League(England)-Fulham,3,5
Europe-Premier League(England)-HullCity,2,5
Europe-Premier League(England)-LeicesterCity,1,5
Europe-Premier League(England)-Liverpool,12,5
Europe-Premier League(England)-ManchesterCity,10,5
Europe-Premier League(England)-ManchesterUnited,14,5
Europe-Premier League(England)-Middlesbrough,2,5
Europe-Premier League(England)-NewcastleUnited,6,5
Europe-Premier League(England)-NorwichCity,2,5
Europe-Premier League(England)-NottinghamForest,1,5
Europe-Premier League(England)-PrestonNorthEnd,1,5
Europe-Premier League(England)-QueensParkRangers,2,5
Europe-Premier League(England)-Southampton,5,5
Europe-Premier League(England)-StokeCity,4,5
Europe-Premier League(England)-Sunderland,2,5
Europe-Premier League(England)-SwindonTown,1,5
Europe-Premier League(England)-TottenhamHotspur,6,5
Europe-Premier League(England)-Watford,2,5
Europe-Premier League(England)-WestBromwichAlbion,2,5
Europe-Premier League(England)-WestHamUnited,1,5
Europe-Premier League(England)-WiganAthletic,3,5
Europe-Ligue 1(France)-Ajaccio,2,5
Europe-Ligue 1(France)-ASMonaco,4,5
Europe-Ligue 1(France)-Bastia,1,5
Europe-Ligue 1(France)-Bordeaux,1,5
Europe-Ligue 1(France)-?vian,1,5
Europe-Ligue 1(France)-Lens,1,5
Europe-Ligue 1(France)-Lille,4,5
Europe-Ligue 1(France)-Lorient,1,5
Europe-Ligue 1(France)-Lyon,1,5
Europe-Ligue 1(France)-Marseille,3,5
Europe-Ligue 1(France)-Montpellier,1,5
Europe-Ligue 1(France)-Nancy,1,5
Europe-Ligue 1(France)-Nantes,1,5
Europe-Ligue 1(France)-Nice,1,5
Europe-Ligue 1(France)-ParisSaintGermain,10,5
Europe-Ligue 1(France)-Reims,1,5
Europe-Ligue 1(France)-Rennes,2,5
Europe-Ligue 1(France)-Saint?tienne,3,5
Europe-Ligue 1(France)-Sochaux,1,5
Europe-Ligue 1(France)-Toulouse,3,5
Europe-Ligue 1(France)-Valenciennes,2,5
Europe-Bundesliga(Germany)-1.FCN?rnberg,4,5
Europe-Bundesliga(Germany)-1860M?nchen,1,5
Europe-Bundesliga(Germany)-1899Hoffenheim,2,5
Europe-Bundesliga(Germany)-BayerLeverkusen,3,5
Europe-Bundesliga(Germany)-BayernMunich,14,5
Europe-Bundesliga(Germany)-BorussiaDortmund,6,5
Europe-Bundesliga(Germany)-BorussiaM?nchengladbach,2,5
Europe-Bundesliga(Germany)-EintrachtBraunschweig,2,5
Europe-Bundesliga(Germany)-EintrachtFrankfurt,2,5
Europe-Bundesliga(Germany)-FCAugsburg,3,5
Europe-Bundesliga(Germany)-FortunaD?sseldorf,2,5
Europe-Bundesliga(Germany)-FSVFrankfurt,1,5
Europe-Bundesliga(Germany)-HamburgerSV,2,5
Europe-Bundesliga(Germany)-Hannover96,3,5
Europe-Bundesliga(Germany)-HerthaBSC,2,5
Europe-Bundesliga(Germany)-Mainz05,5,5
Europe-Bundesliga(Germany)-SCFreiburg,4,5
Europe-Bundesliga(Germany)-Schalke04,7,5
Europe-Bundesliga(Germany)-VfBStuttgart,4,5
Europe-Bundesliga(Germany)-VfLWolfsburg,7,5
Europe-Bundesliga(Germany)-VfRAalen,1,5
Europe-Greece-Olympiacos,5,5
Europe-Greece-Panathinaikos,3,5
Europe-Greece-PAOK,4,5
Europe-Greece-Platanias,1,5
Europe-Hungary-Ferencv?ros,1,5
Europe-Israel-Ashdod,1,5
Europe-Israel-HapoelBe'erSheva,1,5
Europe-Serie A(Italy)-Atalanta,2,5
Europe-Serie A(Italy)-Bologna,3,5
Europe-Serie A(Italy)-Cagliari,2,5
Europe-Serie A(Italy)-Catania,1,5
Europe-Serie A(Italy)-Fiorentina,3,5
Europe-Serie A(Italy)-Genoa,3,5
Europe-Serie A(Italy)-Internazionale,8,5
Europe-Serie A(Italy)-Juventus,12,5
Europe-Serie A(Italy)-Lazio,7,5
Europe-Serie A(Italy)-Livorno,1,5
Europe-Serie A(Italy)-Milan,8,5
Europe-Serie A(Italy)-Napoli,12,5
Europe-Serie A(Italy)-Palermo,1,5
Europe-Serie A(Italy)-Parma,5,5
Europe-Serie A(Italy)-Roma,5,5
Europe-Serie A(Italy)-Sampdoria,1,5
Europe-Serie A(Italy)-Sassuolo,1,5
Europe-Serie A(Italy)-Torino,4,5
Europe-Serie A(Italy)-Udinese,2,5
Europe-Serie A(Italy)-Verona,1,5
Europe-Netherlands-Ajax,3,5
Europe-Netherlands-AZ,1,5
Europe-Netherlands-Feyenoord,5,5
Europe-Netherlands-Heerenveen,1,5
Europe-Netherlands-HeraclesAlmelo,1,5
Europe-Netherlands-NEC,1,5
Europe-Netherlands-PSV,4,5
Europe-Netherlands-Twente,1,5
Europe-Netherlands-Utrecht,1,5
Europe-Netherlands-Vitesse,2,5
Europe-Norway-Aalesund,1,5
Europe-Norway-Rosenborg,2,5
Europe-Norway-Stab?k,1,5
Europe-Norway-Str?msgodset,1,5
Europe-Norway-V?lerenga,1,5
Europe-Portugal-Acad?mica,1,5
Europe-Portugal-Benfica,5,5
Europe-Portugal-Braga,3,5
Europe-Portugal-Porto,9,5
Europe-Portugal-SportingCovilh?,1,5
Europe-Portugal-SportingCP,4,5
Europe-Russia-AmkarPerm,1,5
Europe-Russia-AnzhiMakhachkala,1,5
Europe-Russia-CSKAMoscow,6,5
Europe-Russia-DynamoMoscow,7,5
Europe-Russia-KubanKrasnodar,2,5
Europe-Russia-LokomotivMoscow,2,5
Europe-Russia-Rostov,1,5
Europe-Russia-RubinKazan,3,5
Europe-Russia-SpartakMoscow,2,5
Europe-Russia-TerekGrozny,1,5
Europe-Russia-ZenitSaintPetersburg,8,5
Europe-Scotland-Celtic,4,5
Europe-La Liga(Spain)-Almer?a,1,5
Europe-La Liga(Spain)-Atl?ticoMadrid,9,5
Europe-La Liga(Spain)-Barcelona,13,5
Europe-La Liga(Spain)-CeltaVigo,2,5
Europe-La Liga(Spain)-Elche,1,5
Europe-La Liga(Spain)-Espanyol,2,5
Europe-La Liga(Spain)-Getafe,2,5
Europe-La Liga(Spain)-Granada,3,5
Europe-La Liga(Spain)-LasPalmas,1,5
Europe-La Liga(Spain)-Levante,2,5
Europe-La Liga(Spain)-Mallorca,1,5
Europe-La Liga(Spain)-Osasuna,1,5
Europe-La Liga(Spain)-RealMadrid,12,5
Europe-La Liga(Spain)-RealSociedad,3,5
Europe-La Liga(Spain)-Sevilla,4,5
Europe-La Liga(Spain)-Valencia,5,5
Europe-La Liga(Spain)-Villarreal,2,5
Europe-Sweden-AIK,1,5
Europe-Sweden-Malm?FF,1,5
Europe-Switzerland-Basel,6,5
Europe-Switzerland-Grasshopper,2,5
Europe-Switzerland-Luzern,1,5
Europe-Switzerland-Sion,1,5
Europe-Switzerland-YoungBoys,1,5
Europe-Switzerland-Z?rich,1,5
Europe-Turkey-Antalyaspor,1,5
Europe-Turkey-Be?ikta?,3,5
Europe-Turkey-?aykurRizespor,2,5
Europe-Turkey-Elaz??spor,1,5
Europe-Turkey-Fenerbah?e,5,5
Europe-Turkey-Fethiyespor,1,5
Europe-Turkey-Galatasaray,5,5
Europe-Turkey-Gaziantepspor,1,5
Europe-Turkey-?stanbulBa?ak?ehir,1,5
Europe-Turkey-KayseriErciyesspor,1,5
Europe-Turkey-Kayserispor,1,5
Europe-Turkey-Konyaspor,2,5
Europe-Turkey-Trabzonspor,2,5
Europe-Ukraine-DynamoKyiv,4,5
Europe-Ukraine-ShakhtarDonetsk,3,5
Europe-Ukraine-VolynLutsk,1,5
Europe-Ukraine-ZoryaLuhansk,1,5
Europe-Wales-CardiffCity,2,5
Europe-Wales-SwanseaCity,3,5
